client_id,number_contacts,contact_duration,pdays,previous,previous_outcome,campaign_outcome,campaign_id
0,1,261,999,0,not available,no,261
1,1,149,999,0,not available,no,150
2,1,226,999,0,not available,no,228
3,1,151,999,0,not available,no,154
4,1,307,999,0,not available,no,311
5,1,198,999,0,not available,no,203
6,1,139,999,0,not available,no,145
7,1,217,999,0,not available,no,224
8,1,380,999,0,not available,no,388
9,1,50,999,0,not available,no,59
10,1,55,999,0,not available,no,65
11,1,222,999,0,not available,no,233
12,1,137,999,0,not available,no,149
13,1,293,999,0,not available,no,306
14,1,146,999,0,not available,no,160
15,1,174,999,0,not available,no,189
16,1,312,999,0,not available,no,328
17,1,440,999,0,not available,no,457
18,1,353,999,0,not available,no,371
19,1,195,999,0,not available,no,214
20,1,38,999,0,not available,no,58
21,1,262,999,0,not available,no,283
22,1,342,999,0,not available,no,364
23,1,181,999,0,not available,no,204
24,1,172,999,0,not available,no,196
25,1,99,999,0,not available,no,124
26,1,93,999,0,not available,no,119
27,1,233,999,0,not available,no,260
28,2,255,999,0,not available,no,283
29,1,362,999,0,not available,no,391
30,1,348,999,0,not available,no,378
31,1,386,999,0,not available,no,417
32,1,73,999,0,not available,no,105
33,1,230,999,0,not available,no,263
34,1,208,999,0,not available,no,242
35,1,336,999,0,not available,no,371
36,1,365,999,0,not available,no,401
37,1,1666,999,0,not available,no,1703
38,1,577,999,0,not available,no,615
39,1,137,999,0,not available,no,176
40,1,366,999,0,not available,no,406
41,1,314,999,0,not available,no,355
42,1,160,999,0,not available,no,202
43,1,212,999,0,not available,no,255
44,1,188,999,0,not available,no,232
45,1,22,999,0,not available,no,67
46,1,616,999,0,not available,no,662
47,1,178,999,0,not available,no,225
48,1,355,999,0,not available,no,403
49,2,225,999,0,not available,no,274
50,1,160,999,0,not available,no,210
51,1,266,999,0,not available,no,317
52,1,253,999,0,not available,no,305
53,1,179,999,0,not available,no,232
54,2,269,999,0,not available,no,323
55,1,135,999,0,not available,no,190
56,1,161,999,0,not available,no,217
57,1,787,999,0,not available,no,844
58,1,145,999,0,not available,no,203
59,1,174,999,0,not available,no,233
60,1,449,999,0,not available,no,509
61,1,812,999,0,not available,no,873
62,1,164,999,0,not available,no,226
63,1,366,999,0,not available,no,429
64,1,357,999,0,not available,no,421
65,1,232,999,0,not available,no,297
66,1,91,999,0,not available,no,157
67,1,273,999,0,not available,no,340
68,2,158,999,0,not available,no,226
69,1,177,999,0,not available,no,246
70,1,200,999,0,not available,no,270
71,1,172,999,0,not available,no,243
72,1,176,999,0,not available,no,248
73,1,211,999,0,not available,no,284
74,1,214,999,0,not available,no,288
75,1,1575,999,0,not available,yes,1650
76,1,349,999,0,not available,no,425
77,2,337,999,0,not available,no,414
78,1,272,999,0,not available,no,350
79,1,208,999,0,not available,no,287
80,1,193,999,0,not available,no,273
81,1,212,999,0,not available,no,293
82,2,165,999,0,not available,no,247
83,1,1042,999,0,not available,yes,1125
84,1,20,999,0,not available,no,104
85,1,246,999,0,not available,no,331
86,2,529,999,0,not available,no,615
87,1,192,999,0,not available,no,279
88,1,1467,999,0,not available,yes,1555
89,2,188,999,0,not available,no,277
90,2,180,999,0,not available,no,270
91,1,48,999,0,not available,no,139
92,2,213,999,0,not available,no,305
93,1,545,999,0,not available,no,638
94,1,583,999,0,not available,no,677
95,1,221,999,0,not available,no,316
96,1,426,999,0,not available,no,522
97,1,287,999,0,not available,no,384
98,1,197,999,0,not available,no,295
99,1,257,999,0,not available,no,356
100,1,229,999,0,not available,no,329
101,3,55,999,0,not available,no,156
102,1,400,999,0,not available,no,502
103,1,197,999,0,not available,no,300
104,1,190,999,0,not available,no,294
105,1,21,999,0,not available,no,126
106,2,300,999,0,not available,no,406
107,2,123,999,0,not available,no,230
108,1,293,999,0,not available,no,401
109,1,325,999,0,not available,no,434
110,1,514,999,0,not available,no,624
111,2,849,999,0,not available,no,960
112,1,194,999,0,not available,no,306
113,2,212,999,0,not available,no,325
114,2,337,999,0,not available,no,451
115,1,286,999,0,not available,no,401
116,2,247,999,0,not available,no,363
117,1,518,999,0,not available,no,635
118,1,364,999,0,not available,no,482
119,1,178,999,0,not available,no,297
120,1,98,999,0,not available,no,218
121,1,439,999,0,not available,no,560
122,1,139,999,0,not available,no,261
123,1,79,999,0,not available,no,202
124,1,175,999,0,not available,no,299
125,2,262,999,0,not available,no,387
126,1,61,999,0,not available,no,187
127,1,78,999,0,not available,no,205
128,2,102,999,0,not available,no,230
129,1,579,999,0,not available,yes,708
130,1,143,999,0,not available,no,273
131,1,677,999,0,not available,no,808
132,1,267,999,0,not available,no,399
133,1,345,999,0,not available,no,478
134,1,185,999,0,not available,no,319
135,1,207,999,0,not available,no,342
136,2,69,999,0,not available,no,205
137,2,100,999,0,not available,no,237
138,2,125,999,0,not available,no,263
139,1,461,999,0,not available,yes,600
140,1,240,999,0,not available,no,380
141,1,70,999,0,not available,no,211
142,1,193,999,0,not available,no,335
143,1,136,999,0,not available,no,279
144,1,73,999,0,not available,no,217
145,1,528,999,0,not available,no,673
146,1,541,999,0,not available,no,687
147,1,338,999,0,not available,no,485
148,1,163,999,0,not available,no,311
149,1,87,999,0,not available,no,236
150,1,301,999,0,not available,no,451
151,1,46,999,0,not available,no,197
152,1,52,999,0,not available,no,204
153,1,204,999,0,not available,no,357
154,1,155,999,0,not available,no,309
155,1,98,999,0,not available,no,253
156,1,71,999,0,not available,no,227
157,1,243,999,0,not available,no,400
158,2,186,999,0,not available,no,344
159,2,579,999,0,not available,no,738
160,2,165,999,0,not available,no,325
161,2,163,999,0,not available,no,324
162,1,46,999,0,not available,no,208
163,3,559,999,0,not available,no,722
164,1,2033,999,0,not available,no,2197
165,1,85,999,0,not available,no,250
166,1,506,999,0,not available,no,672
167,2,114,999,0,not available,no,281
168,2,114,999,0,not available,no,282
169,2,843,999,0,not available,no,1012
170,1,181,999,0,not available,no,351
171,1,427,999,0,not available,no,598
172,1,292,999,0,not available,no,464
173,1,192,999,0,not available,no,365
174,3,93,999,0,not available,no,267
175,2,128,999,0,not available,no,303
176,1,107,999,0,not available,no,283
177,2,303,999,0,not available,no,480
178,1,81,999,0,not available,no,259
179,1,270,999,0,not available,no,449
180,1,228,999,0,not available,no,408
181,1,240,999,0,not available,no,421
182,2,673,999,0,not available,yes,855
183,3,233,999,0,not available,no,416
184,1,102,999,0,not available,no,286
185,1,461,999,0,not available,no,646
186,1,250,999,0,not available,no,436
187,1,130,999,0,not available,no,317
188,1,252,999,0,not available,no,440
189,1,138,999,0,not available,no,327
190,1,412,999,0,not available,no,602
191,2,179,999,0,not available,no,370
192,2,19,999,0,not available,no,211
193,2,228,999,0,not available,no,421
194,1,55,999,0,not available,no,249
195,1,717,999,0,not available,no,912
196,1,313,999,0,not available,no,509
197,1,289,999,0,not available,no,486
198,2,683,999,0,not available,no,881
199,1,1077,999,0,not available,no,1276
200,2,146,999,0,not available,no,346
201,1,167,999,0,not available,no,368
202,2,356,999,0,not available,no,558
203,1,277,999,0,not available,no,480
204,1,172,999,0,not available,no,376
205,1,218,999,0,not available,no,423
206,1,217,999,0,not available,no,423
207,1,67,999,0,not available,no,274
208,1,291,999,0,not available,no,499
209,1,248,999,0,not available,no,457
210,1,256,999,0,not available,no,466
211,1,286,999,0,not available,no,497
212,1,477,999,0,not available,no,689
213,2,611,999,0,not available,no,824
214,1,471,999,0,not available,no,685
215,2,381,999,0,not available,no,596
216,1,251,999,0,not available,no,467
217,1,408,999,0,not available,no,625
218,1,287,999,0,not available,no,505
219,3,322,999,0,not available,no,541
